respondent_id,n_surveys_participated,first_survey_date,last_survey_date,total_attention_fails,total_speeder_flags,total_straight_line,attention_fail_rate,speeder_rate,straight_line_rate,avg_duration,quality_score,risk_tier
00afbzujn6n63pz3561t5ics,1,2025-06-30,2025-06-30,1,0,0,1,0,0,501,0.6,High Risk
01or1yxo4va5wnnybxu2zbsd,1,2025-06-26,2025-06-26,1,0,0,1,0,0,431,0.6,High Risk
01syod9bqxnj0l8u2eaa0j1w,1,2025-07-04,2025-07-04,1,0,0,1,0,0,409,0.6,High Risk
01u13nch1jddpmzy377ilmnc,1,2025-07-02,2025-07-02,1,0,0,1,0,0,253,0.6,High Risk
023xvrso34bz437qh6ll787q,1,2025-07-04,2025-07-04,1,0,0,1,0,0,370,0.6,High Risk
028x10j24dka5dg4by2aaoan,1,2025-06-21,2025-06-21,1,1,0,1,1,0,113,0.30000000000000004,High Risk
02m4jo0z5kkxkozflbk421cv,1,2025-07-03,2025-07-03,1,0,0,1,0,0,435,0.6,High Risk
02nsuqep9798ek04e563b2m2,1,2025-06-27,2025-06-27,1,0,0,1,0,0,369,0.6,High Risk
02rb7ll5ftl7csreqm68et2a,1,2025-07-09,2025-07-09,1,1,0,1,1,0,161,0.30000000000000004,High Risk
0334s15lyj0i3foc94b8luz0,1,2025-07-10,2025-07-10,1,0,0,1,0,0,489,0.6,High Risk
034de9eyhfv6c2gzonicefzp,1,2025-06-26,2025-06-26,1,0,1,1,0,1,373,0.30000000000000004,High Risk
0358ld73ixkmgkcvnc9ghsca,1,2025-06-17,2025-06-17,1,0,0,1,0,0,300,0.6,High Risk
039oy73eyab0ojx8pd7qdwvo,1,2025-06-28,2025-06-28,1,0,0,1,0,0,358,0.6,High Risk
03fcawryq4jkc3av9we1kn2l,1,2025-06-26,2025-06-26,1,0,0,1,0,0,439,0.6,High Risk
03rsbjgcqlp7gtlr1dwj8irm,1,2025-06-23,2025-06-23,1,1,0,1,1,0,136,0.30000000000000004,High Risk
03ykh8p1kh5r3h5ho83ais5d,1,2025-07-12,2025-07-12,1,0,0,1,0,0,483,0.6,High Risk
042qqwchv7l956l1646jv4ho,1,2025-06-29,2025-06-29,1,0,0,1,0,0,345,0.6,High Risk
0477yfe7hmkm5hqubqn09vmx,1,2025-07-16,2025-07-16,1,0,0,1,0,0,303,0.6,High Risk
04rzwnu3zydj0k4kwyecm7bl,1,2025-07-13,2025-07-13,1,0,0,1,0,0,385,0.6,High Risk
05iylzv49agqseqbgkaagcjz,1,2025-06-19,2025-06-19,1,1,0,1,1,0,103,0.30000000000000004,High Risk
05jt0bk25ooox62h2x8ojdwn,1,2025-06-17,2025-06-17,1,1,1,1,1,1,110,0,High Risk
