respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speeder,straight_line,duration_seconds,completion_date,project_id
2898w9bx6iqf3esjxa9nhwxl,1.001178,18-29,4-yr/post-graduate degree,Hispanic,Male,Republican,Midwest,Somewhat accurate,Not very trustworthy,Somewhat important,Somewhat likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,365,2025-06-21,2024-012
1d3liaoxodq85wxslpcsg9uj,1.439388,30-49,4-yr/post-graduate degree,Black,Male,Republican,Northeast,Not very accurate,Not very trustworthy,Very important,Somewhat likely,Yes,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,334,2025-07-03,2024-012
dnds7rs7t1ulrezdslzku1n8,0.501432,65+,Some college/2-yr degree,Hispanic,Female,Republican,Northeast,Not very accurate,Somewhat trustworthy,Extremely important,Not likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,202,2025-06-20,2024-012
kj6ll30we6jgk0c9nwx87x8v,0.889901,65+,Some college/2-yr degree,White,Male,Democrat,South,Somewhat accurate,Not very trustworthy,Somewhat important,Somewhat likely,Maybe,Likely,It would not interest me,Yes,FALSE,FALSE,FALSE,288,2025-07-14,2024-012
9zg28zp5td8uzd1x1cmt653d,0.885592,50-64,4-yr/post-graduate degree,Hispanic,Female,Republican,Midwest,Not at all accurate,Somewhat trustworthy,Not very important,Not likely,No,Not very likely,It would not interest me,It depends on who is asking,FALSE,TRUE,FALSE,127,2025-06-26,2024-012
dwkb1q7h1xf4dgw19k1wdj1c,1.204625,50-64,Some college/2-yr degree,White,Male,Democrat,West,Very accurate,Somewhat trustworthy,Very important,I would never participate in a phone survey,Maybe,Likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,217,2025-07-10,2024-012
o0bbpi0fpi3ormbdjs8q6qq5,0.934673,50-64,HS or less,White,Female,Independent,Midwest,Not very accurate,Somewhat trustworthy,Somewhat important,Not likely,Maybe,Not at all likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,375,2025-07-15,2024-012
y9ryybilf3m9q4cfw87uw3xj,0.507805,30-49,HS or less,White,Female,Independent,Midwest,Somewhat accurate,Not very trustworthy,Somewhat important,Somewhat likely,Maybe,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,207,2025-07-05,2024-012
rdhe2xivg5q3u883xf9u54fg,0.72837,18-29,4-yr/post-graduate degree,Black,Male,Democrat,South,Very accurate,Somewhat trustworthy,Extremely important,Not likely,No,Not at all likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,494,2025-06-26,2024-012
rlfcyjt11mez4aguho8vekil,1.088269,50-64,Some college/2-yr degree,White,Female,Independent,South,Somewhat accurate,Not at all trustworthy,Somewhat important,Very likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,260,2025-07-03,2024-012
yxcygjg2dymtb8yy5227v1mg,1.342113,30-49,HS or less,White,Female,Republican,West,Not very accurate,Not at all trustworthy,Not very important,Not likely,Maybe,Very likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,TRUE,442,2025-06-19,2024-012
zk1nrhwdqrxfnczmcmzomef7,1.10458,18-29,HS or less,White,Female,Republican,South,Somewhat accurate,Somewhat trustworthy,Very important,Not likely,Maybe,Likely,It would not interest me,Yes,FALSE,FALSE,FALSE,394,2025-06-21,2024-012
p538a12xn2nlj7eo0oyz4ti0,0.647266,65+,4-yr/post-graduate degree,Black,Female,Democrat,West,Somewhat accurate,Somewhat trustworthy,Very important,I would never participate in a phone survey,Maybe,Likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,388,2025-06-26,2024-012
ztq6fcruk9o7f26xngu0xk3g,1.212091,30-49,Some college/2-yr degree,White,Female,Independent,South,Not at all accurate,Somewhat trustworthy,Somewhat important,I would never participate in a phone survey,Maybe,Not very likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,491,2025-06-22,2024-012
e672imry6batnylvnotmc6cv,1.122618,30-49,HS or less,Hispanic,Female,Independent,Northeast,Somewhat accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,No,Likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,290,2025-07-10,2024-012
iy39b2c7n4nrdjnttxgh8enl,1.519449,30-49,HS or less,White,Male,Other or none,Northeast,Not very accurate,Somewhat trustworthy,Not at all important,Not likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,393,2025-07-07,2024-012
zxoyzaep81n1lcde5rx6gmvu,1.485523,50-64,Some college/2-yr degree,White,Male,Democrat,South,Somewhat accurate,Not very trustworthy,Not very important,Somewhat likely,No,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,TRUE,FALSE,150,2025-07-06,2024-012
yvl1ps0f6axt7qc5hffakngk,1.198185,18-29,HS or less,Hispanic,Female,Democrat,South,Very accurate,Not very trustworthy,Not at all important,Very likely,Maybe,Likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,366,2025-07-02,2024-012
aq0as1c6m9l9co7wahdagcul,0.880203,50-64,4-yr/post-graduate degree,Black,Female,Republican,West,Somewhat accurate,Very trustworthy,Very important,Not likely,Maybe,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,317,2025-06-25,2024-012
kdrswybr14losz9npiafcbd3,1.410482,18-29,Some college/2-yr degree,Hispanic,Male,Independent,South,Not very accurate,Somewhat trustworthy,Extremely important,Somewhat likely,Yes,Likely,It would not interest me,Yes,FALSE,FALSE,FALSE,339,2025-06-29,2024-012
m74magqgptsbmc1sklp87pgg,0.837364,65+,4-yr/post-graduate degree,Hispanic,Female,Independent,Midwest,Not very accurate,Not very trustworthy,Somewhat important,Not likely,Maybe,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,469,2025-06-23,2024-012
wbux0lkn5ja072inqi0dz28h,0.393673,50-64,HS or less,White,Female,Democrat,West,Somewhat accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Maybe,Not at all likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,258,2025-07-14,2024-012
oumwxclpexh4u0dcx6nnl12t,1.370303,30-49,Some college/2-yr degree,White,Male,Republican,Northeast,Not very accurate,Not at all trustworthy,Somewhat important,Somewhat likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,450,2025-06-29,2024-012
x0gjs6xinpua5caachobjuet,0.915254,18-29,HS or less,Hispanic,Female,Democrat,Northeast,Not very accurate,Not very trustworthy,Very important,Somewhat likely,Yes,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,402,2025-06-19,2024-012
h7808l3t6tb2a6c7vnty50n8,0.91358,50-64,HS or less,White,Female,Democrat,South,Somewhat accurate,Very trustworthy,Extremely important,I would never participate in a phone survey,Maybe,Not at all likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,295,2025-07-17,2024-012
5xwhsif6jz3exzjsedrtsci7,0.728493,18-29,4-yr/post-graduate degree,Black,Female,Democrat,Northeast,Very accurate,Not at all trustworthy,Not very important,Not likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,205,2025-06-24,2024-012
iubdmrftabhp1q7vm9tkl168,0.848065,30-49,4-yr/post-graduate degree,Black,Male,Democrat,South,Very accurate,Not very trustworthy,Somewhat important,Somewhat likely,Yes,Not very likely,It would become my preferred incentive offer,No,TRUE,FALSE,FALSE,404,2025-06-20,2024-012
i1r2q17qkfu2sl9611ekyu67,1.328177,30-49,Some college/2-yr degree,White,Female,Democrat,Midwest,Somewhat accurate,Somewhat trustworthy,Somewhat important,Very likely,Yes,Not very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,400,2025-07-17,2024-012
6dzapgfedkoq738q0o9b32sx,0.789135,50-64,Some college/2-yr degree,Hispanic,Female,Other or none,South,Not very accurate,Somewhat trustworthy,Very important,Not likely,Maybe,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,459,2025-06-25,2024-012
6jamsz0dm3ttruvumjx35l1i,0.960929,65+,Some college/2-yr degree,White,Female,Republican,Northeast,Somewhat accurate,Not very trustworthy,Somewhat important,I would never participate in a phone survey,Yes,Not very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,493,2025-06-26,2024-012
uj0k5qbpxlzjgfkha1lqmzwa,0.303943,30-49,HS or less,White,Female,Republican,South,Very accurate,Not at all trustworthy,Very important,Not likely,No,Very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,373,2025-07-03,2024-012
km3aqpyqw0gzkjwdiqqk1vji,1.300402,30-49,HS or less,Hispanic,Male,Democrat,South,Somewhat accurate,Not very trustworthy,Somewhat important,Not likely,Maybe,Likely,It would not interest me,Yes,FALSE,FALSE,TRUE,425,2025-06-24,2024-012
4i281zq0u1200vhhprq2c9b9,1.577691,65+,Some college/2-yr degree,Hispanic,Male,Democrat,Midwest,Somewhat accurate,Somewhat trustworthy,Not very important,Somewhat likely,Maybe,Very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,263,2025-07-04,2024-012
v0eywlw2x3j8cqpjc2g8k1x9,0.592685,65+,4-yr/post-graduate degree,Black,Female,Independent,South,Somewhat accurate,Not at all trustworthy,Extremely important,Somewhat likely,Yes,Very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,TRUE,294,2025-07-02,2024-012
rfnmam7642w081s3l4ijxq4i,1.098657,18-29,4-yr/post-graduate degree,White,Male,Other or none,West,Not very accurate,Somewhat trustworthy,Very important,Somewhat likely,Yes,Not at all likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,323,2025-07-14,2024-012
