respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speeder,straight_line,duration_seconds,completion_date,project_id
u60m8oz9ry3gc9x64rqquq8i,0.904047,65+,HS or less,Black,Female,Democrat,South,Not at all accurate,Not at all trustworthy,Very important,Somewhat likely,Yes,Not very likely,It would be one I would likely choose,Yes,FALSE,TRUE,TRUE,60,2025-07-02,2024-022
azrtwpcpeaobbs48bt4pmsvd,0.559323,65+,Some college/2-yr degree,White,Female,Republican,West,Not very accurate,Somewhat trustworthy,Not very important,Somewhat likely,No,Not very likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,227,2025-06-23,2024-022
j2sshj89oaul9ipdjoi8w527,0.994731,50-64,Some college/2-yr degree,White,Female,Independent,West,Somewhat accurate,Somewhat trustworthy,Very important,I would never participate in a phone survey,Yes,Not at all likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,412,2025-06-27,2024-022
vpxtf67sfh0e7249vyesq9o9,1.432399,18-29,HS or less,Hispanic,Female,Independent,South,Very accurate,Not very trustworthy,Somewhat important,Not likely,Yes,Not at all likely,It would not interest me,Yes,FALSE,TRUE,FALSE,69,2025-06-26,2024-022
kp08aersx8e6guix37a1lxz9,0.84396,50-64,HS or less,Hispanic,Male,Democrat,South,Somewhat accurate,Very trustworthy,Not very important,Somewhat likely,Maybe,Not very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,332,2025-07-14,2024-022
rk8s7g6wl7w1q3tox0qo25hw,0.790591,30-49,4-yr/post-graduate degree,White,Male,Other or none,Midwest,Not at all accurate,Not at all trustworthy,Very important,Very likely,No,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,209,2025-07-11,2024-022
wunehqg6sstzypu2y4csf1ug,0.706996,30-49,Some college/2-yr degree,Hispanic,Female,Independent,Northeast,Somewhat accurate,Not at all trustworthy,Extremely important,Very likely,Yes,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,388,2025-07-17,2024-022
im7jktzpdagfqcb8kq4msq0y,1.219424,30-49,4-yr/post-graduate degree,White,Female,Democrat,South,Not very accurate,Somewhat trustworthy,Not very important,Somewhat likely,Yes,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,291,2025-06-21,2024-022
j99csiwyszlvf4o82xjxv506,1.185045,30-49,4-yr/post-graduate degree,Black,Male,Republican,West,Very accurate,Somewhat trustworthy,Not at all important,Not likely,Maybe,Likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,454,2025-06-22,2024-022
sf3edfbbklj82l2p0mb8sb2j,1.100757,18-29,Some college/2-yr degree,White,Female,Republican,Northeast,Somewhat accurate,Somewhat trustworthy,Not very important,Somewhat likely,Yes,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,303,2025-07-17,2024-022
we6m73i2ck3h7nwwadsfmv7j,0.673472,65+,HS or less,Hispanic,Female,Republican,Northeast,Somewhat accurate,Not at all trustworthy,Somewhat important,Somewhat likely,Yes,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,TRUE,FALSE,112,2025-07-07,2024-022
57yycldkbqzsogt70hp0z4z0,0.980398,50-64,Some college/2-yr degree,Black,Female,Republican,Midwest,Somewhat accurate,Not very trustworthy,Somewhat important,Not likely,Yes,Not at all likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,338,2025-06-25,2024-022
6ok32hbpirj92qarf34efhke,0.898718,50-64,4-yr/post-graduate degree,Hispanic,Male,Democrat,South,Not very accurate,Not very trustworthy,Somewhat important,Not likely,No,Very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,294,2025-06-18,2024-022
g8jlbi94xntwe9h7trbk8x2o,0.928799,30-49,HS or less,Hispanic,Female,Independent,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,I would never participate in a phone survey,Maybe,Very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,356,2025-06-18,2024-022
hpw08gbq9n9w1ocoonb1lvcg,0.702829,30-49,Some college/2-yr degree,Black,Male,Independent,Midwest,Somewhat accurate,Not very trustworthy,Somewhat important,I would never participate in a phone survey,Yes,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,405,2025-07-05,2024-022
xpbrwok24ybi9pbpkhv9pfo8,1.009742,18-29,HS or less,White,Male,Democrat,Midwest,Somewhat accurate,Very trustworthy,Not very important,Very likely,Maybe,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,286,2025-06-22,2024-022
07npz68tfs244pf18wi4w6q8,1.236575,50-64,HS or less,White,Male,Independent,South,Very accurate,Somewhat trustworthy,Not very important,Somewhat likely,Maybe,Not at all likely,It would not interest me,Yes,FALSE,FALSE,FALSE,378,2025-06-26,2024-022
vwpdquyyn6x2xuqd5aneoez5,0.861997,50-64,Some college/2-yr degree,White,Male,Democrat,South,Very accurate,Somewhat trustworthy,Very important,Not likely,Yes,Not at all likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,389,2025-07-14,2024-022
