respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speed_flag,straight_line,duration_seconds,completion_date,project_id
oyjyu13uo46zb3au3rtrs5qr,1.244162,65+,HS or less,Hispanic,Female,Independent,West,Not very accurate,Somewhat trustworthy,Extremely important,Not likely,Yes,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,401,2025-07-13,2024-025
qqw60jaxwfbkv8wv211fa6xa,1.284799,65+,Some college/2-yr degree,White,Male,Democrat,South,Somewhat accurate,Not very trustworthy,Somewhat important,Not likely,Yes,Likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,418,2025-07-15,2024-025
0a931hzdewk7e6mz25y2jly2,1.115103,18-29,4-yr/post-graduate degree,White,Female,Republican,Northeast,Not very accurate,Very trustworthy,Somewhat important,Not likely,Maybe,Not very likely,It would not interest me,Yes,FALSE,FALSE,FALSE,392,2025-06-23,2024-025
byzwnitqf4yulntw5zlemfqt,0.666806,30-49,HS or less,Hispanic,Female,Republican,Northeast,Very accurate,Very trustworthy,Somewhat important,I would never participate in a phone survey,No,Not at all likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,410,2025-07-10,2024-025
wdk2ezuv2smkj076pqvijlhb,1.188013,50-64,Some college/2-yr degree,Hispanic,Male,Democrat,West,Not very accurate,Not at all trustworthy,Somewhat important,Very likely,Yes,Very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,214,2025-06-29,2024-025
a19dug01xgvzvqc10249y72z,0.918859,30-49,Some college/2-yr degree,White,Male,Democrat,West,Not very accurate,Somewhat trustworthy,Very important,Very likely,Maybe,Not at all likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,TRUE,257,2025-07-13,2024-025
fc2lmbflrw53po1xtnl2airh,0.889481,50-64,Some college/2-yr degree,Black,Female,Independent,South,Somewhat accurate,Somewhat trustworthy,Very important,Somewhat likely,No,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,TRUE,FALSE,82,2025-06-22,2024-025
4uo2vhx82j61r1c57n5opta1,0.848691,30-49,Some college/2-yr degree,White,Female,Independent,Northeast,Somewhat accurate,Somewhat trustworthy,Not very important,Very likely,Yes,Likely,It would not interest me,No,FALSE,FALSE,FALSE,263,2025-07-02,2024-025
hpas7lpjpc0dv73geya0jn65,1.292238,18-29,Some college/2-yr degree,Black,Female,Republican,Midwest,Somewhat accurate,Not very trustworthy,Extremely important,Somewhat likely,Maybe,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,185,2025-07-16,2024-025
f4u9l876uqg481hbc4liynaw,1.327954,18-29,Some college/2-yr degree,White,Female,Independent,South,Somewhat accurate,Not very trustworthy,Not very important,I would never participate in a phone survey,No,Likely,It would be one I would likely choose,It depends on who is asking,TRUE,FALSE,FALSE,300,2025-07-16,2024-025
d52u0nknng3zjc2tidsdauij,1.062389,50-64,Some college/2-yr degree,White,Male,Independent,Northeast,Somewhat accurate,Somewhat trustworthy,Extremely important,Somewhat likely,Maybe,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,386,2025-06-27,2024-025
mopjg4q7zc9sn03fwt5ym9fp,0.536847,50-64,Some college/2-yr degree,Black,Male,Republican,Northeast,Very accurate,Somewhat trustworthy,Not very important,I would never participate in a phone survey,Maybe,Not very likely,It would not interest me,No,FALSE,FALSE,FALSE,433,2025-07-02,2024-025
trew5msjzbbyx4quup4i23lf,1.194437,30-49,Some college/2-yr degree,Black,Male,Other or none,West,Very accurate,Not at all trustworthy,Very important,Not likely,Yes,Not at all likely,It would become my preferred incentive offer,It depends on who is asking,TRUE,FALSE,FALSE,418,2025-07-01,2024-025
urxuvhkh239vxyz724imflzi,1.230198,30-49,Some college/2-yr degree,Other,Female,Independent,West,Very accurate,Somewhat trustworthy,Extremely important,Not likely,Maybe,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,395,2025-07-08,2024-025
gdj3xczs253fqjog0wqivi3w,0.357987,65+,4-yr/post-graduate degree,White,Male,Republican,West,Somewhat accurate,Not very trustworthy,Extremely important,Not likely,No,Likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,348,2025-07-03,2024-025
o18rvay3h0n3rewm4xs2dgl6,1.331225,65+,4-yr/post-graduate degree,Black,Male,Republican,West,Somewhat accurate,Somewhat trustworthy,Not at all important,I would never participate in a phone survey,No,Not very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,436,2025-07-11,2024-025
