respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speed_flag,straight_line,duration_seconds,completion_date,project_id
vrqjzqf3cdhmlwnw2b7zd6gh,1.199101,30-49,Some college/2-yr degree,White,Female,Independent,Northeast,Somewhat accurate,Very trustworthy,Not at all important,I would never participate in a phone survey,Maybe,Not at all likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,288,2025-06-30,2024-035
f73jtyfvw5vcbw6el0ez3pz6,0.953751,30-49,HS or less,White,Female,Independent,Midwest,Somewhat accurate,Very trustworthy,Somewhat important,Not likely,Maybe,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,297,2025-07-04,2024-035
633px8doyamo8q3ew3pdjnj9,1.30447,50-64,HS or less,Hispanic,Female,Republican,South,Somewhat accurate,Not very trustworthy,Not at all important,Very likely,Maybe,Not at all likely,It would not interest me,Yes,FALSE,FALSE,FALSE,290,2025-07-06,2024-035
gc1lk7t6v20nv8iz2qpjol3k,0.912711,30-49,4-yr/post-graduate degree,White,Male,Democrat,West,Not at all accurate,Somewhat trustworthy,Not very important,I would never participate in a phone survey,No,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,275,2025-07-17,2024-035
mvbmcrnmbvo2ulv1pbdis2d2,1.160271,50-64,Some college/2-yr degree,White,Male,Democrat,West,Somewhat accurate,Somewhat trustworthy,Somewhat important,Not likely,No,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,440,2025-06-18,2024-035
x8ugq6pdnb3gn5dmpfosqzbb,0.913525,18-29,Some college/2-yr degree,White,Male,Democrat,West,Not very accurate,Somewhat trustworthy,Somewhat important,Not likely,Yes,Very likely,It would become my preferred incentive offer,Yes,FALSE,TRUE,FALSE,146,2025-06-29,2024-035
zseox16493wnpfowendpy5g5,0.397429,30-49,4-yr/post-graduate degree,Black,Other,Democrat,Northeast,Somewhat accurate,Somewhat trustworthy,Somewhat important,Not likely,No,Not very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,389,2025-07-01,2024-035
8evpprg7i3ktxdcvip6xri0l,0.627463,30-49,4-yr/post-graduate degree,White,Female,Republican,South,Not very accurate,Somewhat trustworthy,Extremely important,Somewhat likely,Yes,Likely,It would be one I would likely choose,Yes,FALSE,FALSE,TRUE,482,2025-07-03,2024-035
ck6ynez4wczwggpgzek3vq6i,0.428981,30-49,4-yr/post-graduate degree,White,Male,Republican,Midwest,Somewhat accurate,Somewhat trustworthy,Somewhat important,Very likely,No,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,175,2025-07-06,2024-035
j0feszirkzo9ggauuh31u5f1,0.974483,18-29,Some college/2-yr degree,White,Female,Republican,West,Very accurate,Somewhat trustworthy,Extremely important,I would never participate in a phone survey,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,TRUE,FALSE,FALSE,368,2025-06-21,2024-035
otm3f0esbfuad87tthduxjiw,0.760818,30-49,Some college/2-yr degree,White,Male,Democrat,Midwest,Not very accurate,Not very trustworthy,Very important,Not likely,Yes,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,TRUE,386,2025-06-24,2024-035
4v9bjtgkwraz2vea8pihh1he,1.03657,30-49,4-yr/post-graduate degree,White,Male,Republican,Northeast,Somewhat accurate,Very trustworthy,Not very important,Very likely,Maybe,Not at all likely,It would not interest me,Yes,FALSE,FALSE,FALSE,400,2025-06-20,2024-035
w8hy3f7bmdb60gt0t0al5khi,0.750639,65+,Some college/2-yr degree,Black,Male,Democrat,Northeast,Not very accurate,Somewhat trustworthy,Somewhat important,I would never participate in a phone survey,Yes,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,455,2025-07-17,2024-035
zf8g44mnb66pbi2yfyf3ay5h,0.805516,30-49,Some college/2-yr degree,White,Male,Independent,South,Not very accurate,Very trustworthy,Very important,Somewhat likely,No,Not very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,335,2025-07-14,2024-035
