respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attn_check_fail,speeder,straight_line,duration_seconds,completion_date,project_id
2qn0j6dc68r4hs648pba8f43,0.901088,65+,Some college/2-yr degree,White,Female,Republican,Midwest,Somewhat accurate,Not very trustworthy,Not very important,Somewhat likely,Maybe,Not very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,437,2025-07-03,2024-036
yedcro7k77g33hzjq1pefqcm,1.012223,30-49,HS or less,White,Male,Democrat,West,Not very accurate,Somewhat trustworthy,Very important,Very likely,Yes,Not very likely,It would not interest me,Yes,TRUE,FALSE,FALSE,426,2025-06-26,2024-036
060vrrooswlzismpaw6wyadt,0.589608,65+,HS or less,White,Male,Other or none,South,Somewhat accurate,Somewhat trustworthy,Not very important,Not likely,Yes,Likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,294,2025-07-07,2024-036
k60jchdwsw78jolupvp9wlmq,1.088017,30-49,4-yr/post-graduate degree,White,Female,Democrat,South,Somewhat accurate,Somewhat trustworthy,Extremely important,Somewhat likely,Yes,Not very likely,It would not interest me,It depends on who is asking,TRUE,TRUE,FALSE,170,2025-06-24,2024-036
2qx3ogv3fy1sv37bfk4kanij,0.463041,65+,Some college/2-yr degree,Black,Male,Democrat,Midwest,Somewhat accurate,Not very trustworthy,Somewhat important,Somewhat likely,Maybe,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,280,2025-07-14,2024-036
dsgjap0zoxwruya415i032mr,0.821401,50-64,4-yr/post-graduate degree,White,Female,Independent,Northeast,Not very accurate,Somewhat trustworthy,Not very important,Not likely,Maybe,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,200,2025-06-24,2024-036
n7sax6dd5dkn9yil1umpczfm,1.376179,18-29,Some college/2-yr degree,White,Female,Republican,Midwest,Somewhat accurate,Somewhat trustworthy,Not very important,Not likely,Maybe,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,456,2025-07-02,2024-036
bum8iac9grynncg0tqlp0wq5,0.771811,18-29,HS or less,White,Male,Other or none,West,Somewhat accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Yes,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,312,2025-06-23,2024-036
2hg71ig93viojpmeh35s4zad,1.127072,30-49,Some college/2-yr degree,White,Female,Republican,Northeast,Somewhat accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Yes,Not very likely,It would not interest me,It depends on who is asking,TRUE,FALSE,FALSE,298,2025-06-22,2024-036
elg7m0ce5g0mqt68spgqg4j2,1.005566,30-49,4-yr/post-graduate degree,Black,Female,Democrat,Northeast,Somewhat accurate,Somewhat trustworthy,Very important,I would never participate in a phone survey,Maybe,Not at all likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,354,2025-07-05,2024-036
ox21vhtztkvzij5pxd3fiz7c,1.06548,30-49,4-yr/post-graduate degree,White,Female,Republican,Northeast,Very accurate,Not very trustworthy,Somewhat important,Not likely,Yes,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,349,2025-06-28,2024-036
ws9ibrl9yovo9uxb4k0b6b5a,1.031261,18-29,Some college/2-yr degree,White,Male,Independent,Midwest,Very accurate,Somewhat trustworthy,Not very important,Not likely,Maybe,Likely,It would not interest me,Yes,FALSE,FALSE,FALSE,358,2025-06-18,2024-036
keipcha3kijkv20js2085kwb,0.9905,30-49,Some college/2-yr degree,White,Female,Independent,Midwest,Not very accurate,Somewhat trustworthy,Not at all important,Somewhat likely,Yes,Not at all likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,347,2025-06-23,2024-036
nyofvchb9uvx3citl8bar73y,1.349819,30-49,4-yr/post-graduate degree,Black,Male,Democrat,Northeast,Not very accurate,Somewhat trustworthy,Very important,Somewhat likely,Yes,Not very likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,402,2025-07-12,2024-036
1qxuf2lpai8nkv6qs2qs1qvy,0.6635,65+,4-yr/post-graduate degree,White,Female,Independent,South,Very accurate,Somewhat trustworthy,Not very important,Somewhat likely,Maybe,Likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,368,2025-06-21,2024-036
cjnu4rfv2o6c9qhyfokygk28,0.795304,50-64,4-yr/post-graduate degree,Hispanic,Female,Independent,Midwest,Very accurate,Not very trustworthy,Not at all important,Somewhat likely,No,Not very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,475,2025-06-18,2024-036
cq8chml10n8a1k3ebd54c3gz,1.109427,50-64,HS or less,White,Male,Independent,South,Very accurate,Very trustworthy,Somewhat important,Not likely,No,Very likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,341,2025-07-11,2024-036
