respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speeder,straight_line,duration_seconds,completion_date,project_id,device_type
fcq7d5qlopdzaw0o1kb009ha,1.317681,50-64,Some college/2-yr degree,Hispanic,Female,Independent,South,Not very accurate,Very trustworthy,Somewhat important,Very likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,TRUE,FALSE,110,2025-06-20,2024-049,Desktop
vtkziihmf4r5lepzjsf7ssr9,1.244088,50-64,Some college/2-yr degree,Other,Female,Democrat,West,Not at all accurate,Not very trustworthy,Extremely important,Not likely,Maybe,Not at all likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,356,2025-06-19,2024-049,Mobile
oalqn6ipo0tsc3g7l39kzn8p,1.352599,65+,HS or less,White,Female,Republican,South,Somewhat accurate,Not very trustworthy,Very important,Somewhat likely,No,Not very likely,It would be one I would likely choose,No,FALSE,FALSE,TRUE,387,2025-07-03,2024-049,Mobile
e66fl2ezpbyakffotj4mw8sw,1.222447,50-64,Some college/2-yr degree,White,Female,Democrat,West,Not very accurate,Somewhat trustworthy,Very important,Not likely,Yes,Likely,It would not interest me,No,FALSE,FALSE,TRUE,373,2025-06-18,2024-049,Desktop
oc5n4o231qqnflw0szs50yca,0.880102,30-49,HS or less,Black,Female,Independent,South,Not very accurate,Somewhat trustworthy,Not very important,Very likely,Maybe,Not very likely,It would become my preferred incentive offer,Yes,FALSE,TRUE,FALSE,82,2025-07-04,2024-049,Mobile
ycdlquiv0ws8ia4f0xyq9ugk,0.939919,50-64,HS or less,White,Other,Independent,South,Very accurate,Somewhat trustworthy,Not very important,Very likely,No,Likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,335,2025-07-16,2024-049,Tablet
idnosyx6bn3b6wl5jvwfm0ke,0.859907,30-49,HS or less,White,Male,Democrat,South,Not very accurate,Somewhat trustworthy,Somewhat important,Not likely,No,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,351,2025-07-03,2024-049,Mobile
o521aecley9x3hc1wag4n312,0.997049,30-49,4-yr/post-graduate degree,White,Female,Other or none,South,Not very accurate,Not very trustworthy,Not very important,Very likely,Maybe,Not at all likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,415,2025-06-28,2024-049,Mobile
c72invv9xvwwv1t2kiqrxujm,1.082431,30-49,4-yr/post-graduate degree,White,Female,Democrat,West,Not at all accurate,Not very trustworthy,Not at all important,Very likely,No,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,TRUE,453,2025-06-24,2024-049,Mobile
xapeozrtfyiubplxlj4ngh25,1.327542,30-49,HS or less,White,Male,Independent,South,Somewhat accurate,Somewhat trustworthy,Not very important,Not likely,Yes,Not very likely,It would not interest me,No,FALSE,FALSE,FALSE,272,2025-06-23,2024-049,Mobile
