respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speed_flag,straight_line,duration_seconds,completion_date,project_id
gjyjymuujakx7w654cna5efy,0.951738,18-29,Some college/2-yr degree,White,Male,Democrat,Northeast,Not very accurate,Not very trustworthy,Somewhat important,Somewhat likely,Maybe,Not very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,461,2025-07-05,2024-059
j5ixvpq8k9tagqzrlr8p92lq,0.953233,50-64,HS or less,White,Female,Republican,South,Very accurate,Not very trustworthy,Very important,I would never participate in a phone survey,Yes,Very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,344,2025-06-26,2024-059
lowypw9bcoxmfv6faz6fjp3c,1.14181,18-29,Some college/2-yr degree,White,Male,Republican,South,Not very accurate,Somewhat trustworthy,Very important,Very likely,No,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,TRUE,270,2025-06-27,2024-059
k19clyxvc7605gdxqd3033fv,1.132505,50-64,Some college/2-yr degree,White,Male,Democrat,South,Not very accurate,Somewhat trustworthy,Not very important,Somewhat likely,Yes,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,332,2025-06-26,2024-059
1rtzft9q4vu9hmjxsiz0gcj1,0.676252,18-29,HS or less,White,Male,Democrat,West,Somewhat accurate,Not at all trustworthy,Extremely important,Somewhat likely,Yes,Not at all likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,361,2025-07-01,2024-059
a3bgmxorw7w8flyg9sd62ll1,0.787701,30-49,HS or less,White,Male,Republican,Midwest,Not very accurate,Somewhat trustworthy,Somewhat important,Very likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,TRUE,FALSE,72,2025-06-20,2024-059
n82nbhj6mzjobnkhgqmts3pg,1.471675,30-49,HS or less,White,Male,Republican,West,Not at all accurate,Somewhat trustworthy,Very important,Somewhat likely,Maybe,Not at all likely,It would be one I would likely choose,It depends on who is asking,TRUE,TRUE,FALSE,118,2025-06-23,2024-059
3sio14zvxd80owfhcymwdzjr,1.235886,30-49,Some college/2-yr degree,White,Female,Democrat,Northeast,Not very accurate,Somewhat trustworthy,Extremely important,Not likely,No,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,389,2025-07-13,2024-059
ym75q1ixbi4f0cpgughqiqza,0.979456,30-49,HS or less,White,Female,Republican,South,Somewhat accurate,Not at all trustworthy,Extremely important,I would never participate in a phone survey,Maybe,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,TRUE,FALSE,77,2025-06-28,2024-059
2va0b78zpcb1a6k0ukdw5lwy,0.980023,18-29,Some college/2-yr degree,White,Male,Democrat,West,Very accurate,Somewhat trustworthy,Somewhat important,I would never participate in a phone survey,Yes,Not at all likely,It would become my preferred incentive offer,Yes,TRUE,FALSE,FALSE,397,2025-07-01,2024-059
