respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speeder,straight_line,duration_seconds,completion_date,project_id,device_type
64thifscj98h4c6428yf2c2y,0.709668,50-64,Some college/2-yr degree,White,Male,Independent,Midwest,Not at all accurate,Not at all trustworthy,Somewhat important,Somewhat likely,Yes,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,327,2025-07-02,2024-078,Tablet
zprs6z4j02h21tyaaklvgmba,1.161442,65+,HS or less,Other,Male,Independent,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,Very likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,377,2025-06-27,2024-078,Tablet
izyknrkxp9ja50aa3ldafcv6,1.131157,50-64,4-yr/post-graduate degree,White,Male,Republican,Northeast,Very accurate,Not very trustworthy,Not very important,Not likely,Yes,Not at all likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,367,2025-07-14,2024-078,Desktop
4mx368h771v2fhfre7i98zet,0.845275,30-49,HS or less,White,Male,Independent,South,Not very accurate,Not very trustworthy,Very important,I would never participate in a phone survey,Yes,Not very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,425,2025-06-22,2024-078,Mobile
7655m9mvd1u3m8g8nmjy7bhq,0.861375,30-49,4-yr/post-graduate degree,White,Other,Independent,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Yes,Very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,404,2025-06-28,2024-078,Mobile
ovgn0zoth8kej3x5med63e5y,1.056869,30-49,Some college/2-yr degree,White,Female,Democrat,South,Very accurate,Not very trustworthy,Not very important,Somewhat likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,258,2025-06-18,2024-078,Desktop
qgv6t67oes8nnraqtfpsa7d8,1.00311,65+,4-yr/post-graduate degree,Hispanic,Female,Republican,West,Somewhat accurate,Somewhat trustworthy,Very important,I would never participate in a phone survey,Maybe,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,282,2025-07-10,2024-078,Tablet
xp8roe08dml7ucx3jjvpbvrt,1.044039,18-29,HS or less,White,Female,Independent,South,Not very accurate,Not very trustworthy,Very important,Not likely,Yes,Not at all likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,382,2025-06-24,2024-078,Tablet
c0aq9kcpji2bx6lfuzvcsqt5,1.430938,50-64,HS or less,Other,Male,Democrat,South,Not very accurate,Not very trustworthy,Not at all important,Very likely,Yes,Not at all likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,379,2025-07-12,2024-078,Desktop
jfabd07eiv3gq3bvl8zrjoqw,1.10569,18-29,Some college/2-yr degree,White,Male,Republican,Northeast,Not at all accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,No,Very likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,370,2025-07-15,2024-078,Mobile
rir2me36wx7hktaohpvrkg9s,1.095624,18-29,Some college/2-yr degree,White,Female,Democrat,Midwest,Not at all accurate,Not very trustworthy,Not at all important,Not likely,Maybe,Likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,283,2025-07-12,2024-078,Tablet
25i3j7dktrb5quuwm9qjgbr2,1.27331,65+,Some college/2-yr degree,White,Female,Independent,South,Not at all accurate,Somewhat trustworthy,Very important,Very likely,Maybe,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,256,2025-06-18,2024-078,Tablet
yny58p8l1j24cq6pl3bry0uj,1.220478,30-49,Some college/2-yr degree,White,Female,Independent,West,Not very accurate,Somewhat trustworthy,Somewhat important,Very likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,410,2025-06-18,2024-078,Mobile
egyqr71zqi34npby591zmdp7,1.083681,30-49,4-yr/post-graduate degree,Black,Female,Democrat,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,I would never participate in a phone survey,Maybe,Not at all likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,331,2025-07-06,2024-078,Mobile
hxmntdbhqkcznaff45egzczq,0.741018,50-64,Some college/2-yr degree,Other,Male,Republican,Northeast,Very accurate,Somewhat trustworthy,Very important,Not likely,Maybe,Not at all likely,It would be one I would likely choose,Yes,TRUE,FALSE,FALSE,407,2025-06-27,2024-078,Mobile
n2fls94cwp5st4l2arwy0840,1.189055,30-49,Some college/2-yr degree,Hispanic,Male,Independent,Northeast,Very accurate,Somewhat trustworthy,Somewhat important,Not likely,Maybe,Very likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,396,2025-06-22,2024-078,Mobile
