respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speeder,straight_line,duration_seconds,completion_date,project_id
smufhexl9stn58djgb5gtad4,1.40299,30-49,HS or less,White,Female,Democrat,Midwest,Somewhat accurate,Not at all trustworthy,Very important,Somewhat likely,Maybe,Very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,312,2025-07-07,2024-083
s448hqwp8b5f0w11iyezpwjr,1.119881,18-29,4-yr/post-graduate degree,White,Female,Democrat,Midwest,Not very accurate,Not at all trustworthy,Very important,Not likely,Maybe,Not at all likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,367,2025-06-30,2024-083
pmnu27x2mhxq1nb6ja5w8nkp,0.711081,65+,Some college/2-yr degree,White,Female,Democrat,West,Not very accurate,Not very trustworthy,Not at all important,Somewhat likely,No,Very likely,It would become my preferred incentive offer,No,FALSE,TRUE,FALSE,113,2025-07-03,2024-083
gysbkrae6iuy0oxxjaqjxtbi,0.765438,18-29,Some college/2-yr degree,White,Male,Democrat,South,Somewhat accurate,Not at all trustworthy,Somewhat important,Not likely,Yes,Not very likely,It would be one I would likely choose,Yes,FALSE,TRUE,FALSE,80,2025-07-03,2024-083
g77hqof8nr8g1mksfs4gi3q2,1.168171,30-49,Some college/2-yr degree,White,Female,Republican,West,Not very accurate,Somewhat trustworthy,Extremely important,Not likely,Maybe,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,407,2025-06-19,2024-083
rmkdituw29mk4grbn45sanmn,0.595923,65+,HS or less,White,Male,Democrat,West,Very accurate,Not very trustworthy,Somewhat important,Very likely,Yes,Not at all likely,It would not interest me,Yes,FALSE,FALSE,TRUE,369,2025-06-27,2024-083
c0dhfngewzps0xmqltoowx1a,1.431171,50-64,Some college/2-yr degree,White,Female,Democrat,Northeast,Not very accurate,Somewhat trustworthy,Extremely important,Somewhat likely,Maybe,Very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,379,2025-06-20,2024-083
fwauupfrjfuvpb7h3wbj8ttx,1.483611,18-29,HS or less,White,Male,Democrat,West,Not at all accurate,Not at all trustworthy,Somewhat important,Not likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,308,2025-06-19,2024-083
m6q1noie4rcx4ggh842s1px2,1.181998,50-64,Some college/2-yr degree,White,Male,Republican,South,Somewhat accurate,Not very trustworthy,Very important,Somewhat likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,333,2025-06-27,2024-083
tja4ouhgni9ekmq6yplfbxpv,0.907919,50-64,Some college/2-yr degree,White,Female,Independent,West,Somewhat accurate,Not very trustworthy,Not at all important,Very likely,Yes,Not at all likely,It would become my preferred incentive offer,It depends on who is asking,TRUE,FALSE,FALSE,311,2025-07-04,2024-083
wz6q7jj0glxf1vmun9vfqrid,1.061939,50-64,HS or less,Hispanic,Male,Democrat,South,Somewhat accurate,Somewhat trustworthy,Not at all important,Somewhat likely,Yes,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,285,2025-07-14,2024-083
