respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attention_fail,speeder,straight_line,duration_seconds,completion_date,project_id,device_type
qyys4rhcz82pjew98ogx7vyg,1.430963,50-64,Some college/2-yr degree,Hispanic,Male,Independent,West,Very accurate,Very trustworthy,Somewhat important,Very likely,Yes,Not very likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,456,2025-07-03,2024-084,Desktop
ywg3s9jla2rukugwzj7ejpeb,1.006771,30-49,Some college/2-yr degree,Hispanic,Female,Democrat,South,Somewhat accurate,Very trustworthy,Extremely important,Somewhat likely,Maybe,Very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,344,2025-06-21,2024-084,Desktop
gmy4ovwwiirp4ehgucq8fx7w,0.834825,65+,Some college/2-yr degree,White,Female,Independent,West,Somewhat accurate,Very trustworthy,Somewhat important,I would never participate in a phone survey,Maybe,Very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,350,2025-07-02,2024-084,Desktop
43keitjmq2xa183l11lcjygc,1.589387,30-49,HS or less,Hispanic,Female,Independent,South,Somewhat accurate,Not very trustworthy,Somewhat important,Not likely,Yes,Likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,321,2025-07-10,2024-084,Mobile
hhk1ttmvmhabvhxlzqr0xb12,0.565798,30-49,HS or less,White,Female,Other or none,Midwest,Not very accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Maybe,Very likely,It would not interest me,Yes,FALSE,FALSE,FALSE,261,2025-07-14,2024-084,Mobile
f6zvdiltyctpv08bpypu5me6,0.671211,30-49,4-yr/post-graduate degree,White,Female,Other or none,Midwest,Somewhat accurate,Not very trustworthy,Very important,I would never participate in a phone survey,No,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,370,2025-07-01,2024-084,Mobile
ka02s4jggss9suohyo78fk7k,0.465525,30-49,Some college/2-yr degree,Hispanic,Female,Democrat,Midwest,Somewhat accurate,Not very trustworthy,Not very important,Somewhat likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,211,2025-07-15,2024-084,Mobile
ylrqhecglu5c40zm3guyhmue,0.459784,30-49,4-yr/post-graduate degree,Other,Male,Independent,Midwest,Somewhat accurate,Somewhat trustworthy,Somewhat important,Not likely,Yes,Not very likely,It would not interest me,It depends on who is asking,FALSE,TRUE,FALSE,111,2025-07-13,2024-084,Mobile
6mzyki3zs540lkepm0wy6q65,1.159611,18-29,HS or less,Other,Male,Independent,South,Not very accurate,Very trustworthy,Somewhat important,Somewhat likely,Yes,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,TRUE,361,2025-07-15,2024-084,Desktop
pzd7p78j9anmz0xcjtwsdfeu,1.212179,18-29,4-yr/post-graduate degree,White,Male,Independent,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,Not likely,Maybe,Likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,267,2025-07-17,2024-084,Desktop
