respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attn_check_fail,speeder,straight_line,duration_seconds,completion_date,project_id
xrs0qoijlpbb86ymvo19rma3,1.473748,18-29,4-yr/post-graduate degree,White,Female,Republican,West,Somewhat accurate,Somewhat trustworthy,Somewhat important,Not likely,Yes,Likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,TRUE,245,2025-06-24,2024-091
qp70w6bgjgabxmqwgfeuh1y1,1.181028,65+,HS or less,Hispanic,Female,Democrat,Northeast,Not at all accurate,Not very trustworthy,Somewhat important,I would never participate in a phone survey,Yes,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,381,2025-06-23,2024-091
nbklqsp8pryb7fzuzzbsl3s9,0.991531,50-64,4-yr/post-graduate degree,White,Female,Republican,West,Very accurate,Somewhat trustworthy,Somewhat important,Very likely,No,Likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,349,2025-07-07,2024-091
ro9zepnmz0itm4nysvwkkqwx,1.378956,30-49,HS or less,White,Female,Democrat,South,Somewhat accurate,Somewhat trustworthy,Very important,Not likely,Maybe,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,TRUE,355,2025-07-04,2024-091
cifamp5dypa7tvqz1lqugs5f,1.119836,18-29,HS or less,White,Female,Democrat,West,Not at all accurate,Not very trustworthy,Not very important,Somewhat likely,Maybe,Likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,269,2025-06-26,2024-091
kob4q1ayie2iktzlt73i3czq,0.693725,50-64,4-yr/post-graduate degree,Black,Female,Republican,West,Not at all accurate,Somewhat trustworthy,Somewhat important,Very likely,No,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,376,2025-07-07,2024-091
8nx1tmr7mwswxp338r97cxvf,1.140449,30-49,4-yr/post-graduate degree,Hispanic,Male,Independent,Midwest,Not very accurate,Not very trustworthy,Not at all important,Very likely,Yes,Very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,423,2025-07-11,2024-091
vw8z93quql1hkv8g0flptowa,0.880322,30-49,HS or less,White,Male,Independent,Midwest,Very accurate,Somewhat trustworthy,Very important,Very likely,No,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,373,2025-07-10,2024-091
2sf5vceoaqta3ag7o76ofu1z,1.074539,65+,Some college/2-yr degree,Hispanic,Female,Democrat,Northeast,Somewhat accurate,Somewhat trustworthy,Extremely important,Not likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,194,2025-07-07,2024-091
obrwu5wpimddyp7gzatffz60,0.603975,65+,Some college/2-yr degree,Black,Male,Democrat,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,Not likely,Maybe,Not at all likely,It would be one I would likely choose,No,FALSE,FALSE,TRUE,281,2025-06-26,2024-091
jqp6mg6nh76gohcpdc9nfe98,0.937455,50-64,Some college/2-yr degree,Black,Male,Republican,West,Very accurate,Somewhat trustworthy,Very important,Very likely,No,Likely,It would not interest me,Yes,FALSE,FALSE,FALSE,272,2025-07-02,2024-091
s51kk8ec8zpgqdg7gzsq10gt,0.85314,50-64,Some college/2-yr degree,Black,Female,Independent,South,Very accurate,Somewhat trustworthy,Very important,Somewhat likely,No,Very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,230,2025-07-02,2024-091
s9d0kd4xhdigrvq8kqljmdrt,1.092196,65+,Some college/2-yr degree,White,Female,Independent,Northeast,Somewhat accurate,Somewhat trustworthy,Somewhat important,Not likely,Yes,Not at all likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,322,2025-07-08,2024-091
5j9ipo2ifjnsv3x6zw5xsjbx,0.554234,30-49,Some college/2-yr degree,White,Male,Democrat,South,Not at all accurate,Very trustworthy,Not very important,Not likely,Yes,Not at all likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,428,2025-07-05,2024-091
8mol3m59brz7po9d7t7qecor,0.875288,30-49,4-yr/post-graduate degree,Hispanic,Male,Democrat,South,Somewhat accurate,Somewhat trustworthy,Very important,Somewhat likely,Yes,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,442,2025-06-26,2024-091
zgxp8c509z7gc5wypyksw1zq,0.657171,65+,4-yr/post-graduate degree,White,Female,Democrat,Midwest,Not very accurate,Somewhat trustworthy,Extremely important,Very likely,Maybe,Not at all likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,432,2025-07-08,2024-091
rcefxb8z8acmt2pezqekacw8,1.199192,50-64,HS or less,White,Male,Republican,South,Not very accurate,Very trustworthy,Not at all important,Not likely,Yes,Likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,349,2025-07-15,2024-091
gqn63g0r8o3iuh6pn8hn9yg1,0.888353,50-64,4-yr/post-graduate degree,Black,Male,Independent,South,Somewhat accurate,Not very trustworthy,Extremely important,I would never participate in a phone survey,Maybe,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,397,2025-07-11,2024-091
1h54jba7s9jfdptsrid6l0vl,0.89691,65+,HS or less,White,Female,Republican,Northeast,Not very accurate,Somewhat trustworthy,Not at all important,Somewhat likely,Yes,Not very likely,It would be one I would likely choose,Yes,TRUE,FALSE,FALSE,513,2025-07-06,2024-091
ibh509muo73g5eyqdtmgb2g5,1.311244,30-49,HS or less,White,Female,Democrat,Midwest,Somewhat accurate,Not very trustworthy,Not very important,Very likely,Yes,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,534,2025-07-15,2024-091
72iqdforfnkxyhp9v7x4iqkc,1.081266,30-49,HS or less,Other,Female,Independent,South,Not at all accurate,Somewhat trustworthy,Not very important,I would never participate in a phone survey,Yes,Not at all likely,It would not interest me,No,TRUE,FALSE,FALSE,429,2025-07-13,2024-091
ukq2wqy5976rgs4pexkaqwix,0.585434,18-29,Some college/2-yr degree,Other,Female,Independent,West,Somewhat accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Yes,Not very likely,It would become my preferred incentive offer,It depends on who is asking,TRUE,TRUE,FALSE,101,2025-06-25,2024-091
d70i8raorllg8e2ft8fr7970,0.870939,30-49,4-yr/post-graduate degree,White,Male,Republican,Northeast,Somewhat accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,405,2025-06-28,2024-091
9vnskgbpbteuztcnhp20z395,0.674572,50-64,4-yr/post-graduate degree,Black,Male,Republican,South,Not very accurate,Not very trustworthy,Somewhat important,Not likely,Yes,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,332,2025-07-13,2024-091
7gmd29eh6lxhbke6qizwngbw,0.894348,65+,Some college/2-yr degree,White,Female,Republican,South,Not at all accurate,Not very trustworthy,Somewhat important,Very likely,Maybe,Not at all likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,447,2025-07-02,2024-091
zc8f6a8pn78eodtc65147loq,1.043566,65+,HS or less,Black,Male,Democrat,Midwest,Not very accurate,Somewhat trustworthy,Not at all important,Somewhat likely,Yes,Not at all likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,249,2025-06-28,2024-091
n5sl5ysbhfim4tk12wwkk9bq,1.136072,30-49,4-yr/post-graduate degree,Hispanic,Male,Republican,South,Somewhat accurate,Not at all trustworthy,Very important,Somewhat likely,Yes,Not at all likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,396,2025-06-27,2024-091
lv4zbmv1cb7i3jqn2a0ggo07,1.273092,30-49,HS or less,White,Male,Democrat,Midwest,Very accurate,Not very trustworthy,Not very important,I would never participate in a phone survey,Yes,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,364,2025-07-05,2024-091
