respondent_id,weight,age_group4,education,raceeth,gender,pid_base,region,q28,q29,q30,q31,q32,q33,q34,q35,attn_check_fail,speeder,straight_line,duration_seconds,completion_date,project_id
grlug0ewhy0o03pd2soe12q2,1.519773,50-64,HS or less,Black,Female,Independent,South,Somewhat accurate,Not very trustworthy,Somewhat important,Not likely,Yes,Not at all likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,518,2025-07-09,2024-096
m4xx543gw59cgx4xqit3eifi,0.489663,30-49,Some college/2-yr degree,White,Female,Democrat,West,Not very accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Maybe,Not very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,371,2025-06-17,2024-096
0hut9lug527glzkjzklqc0rn,1.443759,30-49,4-yr/post-graduate degree,Black,Female,Democrat,Northeast,Very accurate,Very trustworthy,Very important,Not likely,Maybe,Not at all likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,362,2025-06-30,2024-096
8urqaywo6j4k7ybjbjdt3unw,1.186683,65+,4-yr/post-graduate degree,White,Female,Democrat,West,Very accurate,Somewhat trustworthy,Not very important,Not likely,Maybe,Not at all likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,445,2025-06-22,2024-096
12vsnqjnr5zsl4n8mhf6knmv,0.824522,65+,4-yr/post-graduate degree,White,Male,Independent,Northeast,Not very accurate,Not very trustworthy,Somewhat important,Very likely,Maybe,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,370,2025-06-22,2024-096
ctpshclxftcv3i9d930lbzaj,1.265567,18-29,Some college/2-yr degree,White,Male,Democrat,Midwest,Somewhat accurate,Somewhat trustworthy,Somewhat important,Somewhat likely,Yes,Very likely,It would not interest me,No,FALSE,FALSE,FALSE,406,2025-07-01,2024-096
ckt7qy4voanig9x6zgbgehht,0.789051,30-49,Some college/2-yr degree,Hispanic,Male,Republican,Northeast,Somewhat accurate,Not very trustworthy,Not very important,Somewhat likely,Yes,Likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,260,2025-06-22,2024-096
d2obhva19ct021jx4da00hei,1.023153,50-64,4-yr/post-graduate degree,White,Male,Democrat,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,Not likely,Yes,Very likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,434,2025-07-13,2024-096
pz165mc0qnrsquq3np1qaklw,1.275288,30-49,Some college/2-yr degree,Black,Female,Democrat,Midwest,Not very accurate,Not very trustworthy,Very important,Not likely,Yes,Not very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,470,2025-07-09,2024-096
cjx7qcdumkcxrpsdls9gmhw6,0.978305,50-64,Some college/2-yr degree,White,Female,Republican,West,Somewhat accurate,Very trustworthy,Extremely important,Not likely,Yes,Not very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,216,2025-06-18,2024-096
3jtoi6j2l21g0hbt6m1hb317,1.328576,50-64,4-yr/post-graduate degree,Hispanic,Male,Republican,South,Somewhat accurate,Not very trustworthy,Not very important,Not likely,Yes,Very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,460,2025-06-29,2024-096
8c8o0qtjnrsa68uwvbxbzkdr,1.319332,30-49,Some college/2-yr degree,White,Male,Independent,South,Somewhat accurate,Somewhat trustworthy,Very important,Somewhat likely,Yes,Not very likely,It would become my preferred incentive offer,It depends on who is asking,TRUE,FALSE,FALSE,459,2025-07-11,2024-096
0o576wdggm9zvhgnt7qiajrg,1.475714,30-49,HS or less,White,Female,Republican,South,Not very accurate,Somewhat trustworthy,Not very important,Somewhat likely,Yes,Not very likely,It would not interest me,It depends on who is asking,FALSE,FALSE,FALSE,304,2025-06-26,2024-096
bilttufovmtjlbg397d7tn26,1.839535,50-64,Some college/2-yr degree,White,Male,Republican,South,Somewhat accurate,Somewhat trustworthy,Not at all important,Very likely,Yes,Very likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,510,2025-06-19,2024-096
ao5dmfzvu2ba3aj5o8h3tc25,0.803846,30-49,4-yr/post-graduate degree,White,Female,Democrat,West,Somewhat accurate,Very trustworthy,Very important,Very likely,No,Likely,It would be one I would likely choose,Yes,FALSE,FALSE,FALSE,362,2025-07-10,2024-096
yfwcfv1wyyrvd1g7oizez8k3,1.084599,30-49,HS or less,White,Male,Democrat,South,Somewhat accurate,Not very trustworthy,Somewhat important,Very likely,Maybe,Very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,378,2025-06-27,2024-096
wd1ablxwaryi3ebmks1d3cab,0.665871,30-49,Some college/2-yr degree,White,Female,Republican,West,Somewhat accurate,Somewhat trustworthy,Very important,Very likely,Yes,Likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,365,2025-06-30,2024-096
4a1mzti2as0ylyv5h3mtmvqp,0.936392,30-49,4-yr/post-graduate degree,White,Female,Republican,Northeast,Not very accurate,Not very trustworthy,Not very important,Not likely,Maybe,Not at all likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,464,2025-06-18,2024-096
414cw77g9p96qs1cvsf22etf,0.638123,18-29,Some college/2-yr degree,White,Female,Democrat,South,Somewhat accurate,Not very trustworthy,Very important,I would never participate in a phone survey,Maybe,Not very likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,384,2025-06-21,2024-096
tbqcdae6mt72la05q7p5tylo,0.317023,18-29,Some college/2-yr degree,White,Female,Democrat,South,Very accurate,Very trustworthy,Somewhat important,Somewhat likely,Maybe,Likely,It would be one I would likely choose,No,FALSE,FALSE,FALSE,245,2025-06-18,2024-096
t6ddmi57z0bo5tu1axwlyfhi,1.474913,30-49,4-yr/post-graduate degree,White,Female,Independent,Midwest,Not very accurate,Not very trustworthy,Extremely important,Somewhat likely,Maybe,Not very likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,266,2025-07-05,2024-096
kw4mnly8916x45gnl7mhwn12,0.98776,30-49,4-yr/post-graduate degree,Black,Male,Democrat,West,Very accurate,Not very trustworthy,Somewhat important,Not likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,409,2025-06-19,2024-096
r05zerezbx0ycbsm9l6j2ufd,0.99477,18-29,4-yr/post-graduate degree,Black,Male,Republican,South,Not very accurate,Not very trustworthy,Somewhat important,Not likely,Yes,Not at all likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,350,2025-07-17,2024-096
cg06r7f62x80w74dez2uhfqe,1.372928,65+,4-yr/post-graduate degree,Black,Male,Democrat,West,Not very accurate,Somewhat trustworthy,Not at all important,Somewhat likely,Maybe,Very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,TRUE,364,2025-07-10,2024-096
t5sbz9c5tousjmnqnlrji48i,0.49983,30-49,Some college/2-yr degree,White,Female,Independent,South,Somewhat accurate,Somewhat trustworthy,Not very important,Somewhat likely,Yes,Very likely,It would become my preferred incentive offer,No,FALSE,FALSE,FALSE,422,2025-07-12,2024-096
dy5wyisv9jeh7trxawe6o57p,0.716682,18-29,Some college/2-yr degree,White,Male,Republican,West,Somewhat accurate,Not very trustworthy,Very important,Somewhat likely,Yes,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,264,2025-07-08,2024-096
08j5mqvbegmpjlo2n5ke5b24,0.900934,30-49,Some college/2-yr degree,Hispanic,Female,Independent,South,Not very accurate,Somewhat trustworthy,Not very important,Very likely,Maybe,Likely,It would not interest me,No,FALSE,FALSE,FALSE,203,2025-07-03,2024-096
71e3epeuc3etyisdnb38uby8,1.154964,30-49,Some college/2-yr degree,White,Female,Democrat,West,Not very accurate,Not at all trustworthy,Somewhat important,I would never participate in a phone survey,Maybe,Likely,It would become my preferred incentive offer,Yes,FALSE,FALSE,FALSE,329,2025-06-29,2024-096
9kyjibu9qfxugjgb8qcgu28l,1.364027,30-49,Some college/2-yr degree,Black,Male,Republican,South,Somewhat accurate,Somewhat trustworthy,Somewhat important,Not likely,Maybe,Not very likely,It would be one I would likely choose,It depends on who is asking,FALSE,FALSE,FALSE,381,2025-07-10,2024-096
d04zjg7s3bh2cqy3fo5qpafz,0.96247,18-29,4-yr/post-graduate degree,White,Female,Republican,West,Somewhat accurate,Somewhat trustworthy,Somewhat important,I would never participate in a phone survey,No,Not very likely,It would become my preferred incentive offer,It depends on who is asking,FALSE,FALSE,FALSE,302,2025-06-28,2024-096
87wct2zh7uljaq02vayltltm,1.510644,50-64,HS or less,White,Female,Independent,South,Not at all accurate,Not at all trustworthy,Somewhat important,Not likely,Maybe,Not at all likely,It would not interest me,Yes,FALSE,FALSE,TRUE,389,2025-06-25,2024-096
